ERROR 2026-06-02 10:14:49,053 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:49,062 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.75
INFO 2026-06-02 10:14:49,327 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.35
ERROR 2026-06-02 10:14:49,328 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:49,399 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.35
INFO 2026-06-02 10:14:49,842 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.40
ERROR 2026-06-02 10:14:49,843 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:49,847 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.40
INFO 2026-06-02 10:14:50,603 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.50
ERROR 2026-06-02 10:14:50,604 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:50,604 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:50,615 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.50
WARNING 2026-06-02 10:14:50,976 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
ERROR 2026-06-02 10:14:51,029 dhan_feed DhanFeed: 401 Unauthorized — Dhan token expire ho gaya. Naya access token generate karo.
INFO 2026-06-02 10:14:51,034 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.45
ERROR 2026-06-02 10:14:51,034 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:51,040 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.45
INFO 2026-06-02 10:14:51,452 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.85
INFO 2026-06-02 10:14:51,490 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.85
ERROR 2026-06-02 10:14:51,490 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:51,831 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.70
ERROR 2026-06-02 10:14:51,832 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:51,833 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
